,caseid,Country code and phase,Cluster number,Household number,Respondent's line number ,Ultimate area unit,Women's individual sample weight (6 decimals),Month of interview,Year of interview,Date of interview (CMC),Respondent's month of birth,Respondent's year of birth,Date of birth (CMC),Respondent's current age,Age in 5-year groups,Total children ever born,Sons at home,Daughters at home,Sons elsewhere,Daughters elsewhere,Sons who have died,Daughters who have died
6425,167 27  2,ZZ6,167,27,2,167,1583867,7,2015,1387,1,1991,1093,24,20-24,4,3,1,0,0,0,0
6426,167 28  1,ZZ6,167,28,1,167,1583867,7,2015,1387,2,1979,950,36,35-39,8,1,3,0,1,2,1
6427,167 29  5,ZZ6,167,29,5,167,1583867,7,2015,1387,1,1999,1189,16,15-19,0,0,0,0,0,0,0
6428,167 29  6,ZZ6,167,29,6,167,1583867,7,2015,1387,2,2000,1202,15,15-19,0,0,0,0,0,0,0
6429,167 30  2,ZZ6,167,30,2,167,1583867,7,2015,1387,2,1982,986,33,30-34,6,0,1,3,1,0,1
6430,167 30  3,ZZ6,167,30,3,167,1583867,7,2015,1387,7,1973,883,42,40-44,4,1,0,1,2,0,0
6431,167 31  2,ZZ6,167,31,2,167,1583867,7,2015,1387,7,1992,1111,23,20-24,2,2,0,0,0,0,0
6432,167 31  5,ZZ6,167,31,5,167,1583867,7,2015,1387,6,1999,1194,16,15-19,0,0,0,0,0,0,0
6433,168  1  3,ZZ6,168,1,3,168,1118703,9,2015,1389,8,1967,812,48,45-49,6,0,0,5,0,1,0
6434,168  2  2,ZZ6,168,2,2,168,1118703,9,2015,1389,6,1983,1002,32,30-34,3,1,1,1,0,0,0
6435,168  3  2,ZZ6,168,3,2,168,1118703,9,2015,1389,7,1985,1027,30,30-34,3,1,2,0,0,0,0
6436,168  5  2,ZZ6,168,5,2,168,1118703,9,2015,1389,9,1971,861,44,40-44,8,1,1,0,1,1,4
6437,168  5  4,ZZ6,168,5,4,168,1118703,9,2015,1389,2,1997,1166,18,15-19,1,1,0,0,0,0,0
6438,168  5  7,ZZ6,168,5,7,168,1118703,9,2015,1389,7,1997,1171,18,15-19,0,0,0,0,0,0,0
6439,168  7  2,ZZ6,168,7,2,168,1118703,9,2015,1389,3,1978,939,37,35-39,8,2,2,0,0,2,2
6440,168  8  2,ZZ6,168,8,2,168,1118703,9,2015,1389,2,1985,1022,30,30-34,3,2,1,0,0,0,0
6441,168  9  2,ZZ6,168,9,2,168,1118703,9,2015,1389,5,1970,845,45,45-49,2,1,0,1,0,0,0
6442,168  9  5,ZZ6,168,9,5,168,1118703,9,2015,1389,9,1994,1137,21,20-24,1,0,1,0,0,0,0
6443,168  9 11,ZZ6,168,9,11,168,1118703,9,2015,1389,8,1991,1100,24,20-24,1,0,1,0,0,0,0
6444,168 10  2,ZZ6,168,10,2,168,1118703,9,2015,1389,11,1996,1163,18,15-19,0,0,0,0,0,0,0
6445,168 12  1,ZZ6,168,12,1,168,1118703,9,2015,1389,4,1988,1060,27,25-29,5,2,2,0,0,1,0
6446,168 13  2,ZZ6,168,13,2,168,1118703,9,2015,1389,4,1992,1108,23,20-24,0,0,0,0,0,0,0
6447,168 15  2,ZZ6,168,15,2,168,1118703,9,2015,1389,2,1982,986,33,30-34,7,0,3,0,1,1,2
6448,168 16  2,ZZ6,168,16,2,168,1118703,9,2015,1389,5,1987,1049,28,25-29,0,0,0,0,0,0,0
6449,168 16  3,ZZ6,168,16,3,168,1118703,9,2015,1389,4,1979,952,36,35-39,6,1,0,0,0,4,1
6450,168 18  3,ZZ6,168,18,3,168,1118703,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
6451,168 20  2,ZZ6,168,20,2,168,1118703,9,2015,1389,4,1985,1024,30,30-34,5,1,2,0,2,0,0
6452,168 21  1,ZZ6,168,21,1,168,1118703,9,2015,1389,7,1986,1039,29,25-29,4,3,1,0,0,0,0
6453,168 21  3,ZZ6,168,21,3,168,1118703,9,2015,1389,2,1992,1106,23,20-24,2,1,0,1,0,0,0
6454,168 22  3,ZZ6,168,22,3,168,1118703,9,2015,1389,5,1982,989,33,30-34,4,1,2,1,0,0,0
6455,168 22  4,ZZ6,168,22,4,168,1118703,9,2015,1389,5,1973,881,42,40-44,7,1,2,0,3,0,1
6456,168 22  5,ZZ6,168,22,5,168,1118703,9,2015,1389,1,1995,1141,20,20-24,2,1,0,1,0,0,0
6457,168 22 13,ZZ6,168,22,13,168,1118703,9,2015,1389,8,1999,1196,16,15-19,0,0,0,0,0,0,0
6458,168 23  5,ZZ6,168,23,5,168,1118703,9,2015,1389,2,1981,974,34,30-34,6,1,1,1,2,0,1
6459,168 23  6,ZZ6,168,23,6,168,1118703,9,2015,1389,4,1987,1048,28,25-29,3,0,1,0,0,2,0
6460,168 23  7,ZZ6,168,23,7,168,1118703,9,2015,1389,10,1996,1162,18,15-19,1,0,0,0,0,1,0
6461,168 25  2,ZZ6,168,25,2,168,1118703,9,2015,1389,4,1988,1060,27,25-29,6,3,0,0,2,0,1
6462,168 26  2,ZZ6,168,26,2,168,1118703,9,2015,1389,9,1970,849,45,45-49,8,0,3,0,1,2,2
6463,168 26  8,ZZ6,168,26,8,168,1118703,9,2015,1389,1,1977,925,38,35-39,4,2,0,2,0,0,0
6464,168 27  1,ZZ6,168,27,1,168,1118703,9,2015,1389,9,1977,933,38,35-39,7,2,0,0,3,2,0
6465,168 28  2,ZZ6,168,28,2,168,1118703,9,2015,1389,6,1979,954,36,35-39,1,0,0,1,0,0,0
6466,168 28  3,ZZ6,168,28,3,168,1118703,9,2015,1389,2,1976,914,39,35-39,6,2,0,0,3,1,0
6467,168 30  2,ZZ6,168,30,2,168,1118703,9,2015,1389,8,1974,896,41,40-44,7,2,1,1,1,1,1
6468,168 31  2,ZZ6,168,31,2,168,1118703,9,2015,1389,4,1980,964,35,35-39,9,2,1,2,0,0,4
6469,169  3  2,ZZ6,169,3,2,169,768388,7,2015,1387,4,1990,1084,25,25-29,1,1,0,0,0,0,0
6470,169  6  2,ZZ6,169,6,2,169,768388,7,2015,1387,3,1984,1011,31,30-34,3,2,1,0,0,0,0
6471,169  7  2,ZZ6,169,7,2,169,768388,7,2015,1387,2,1971,854,44,40-44,2,1,0,1,0,0,0
6472,169  9  3,ZZ6,169,9,3,169,768388,7,2015,1387,5,1980,965,35,35-39,2,1,0,0,0,1,0
6473,169  9  5,ZZ6,169,9,5,169,768388,7,2015,1387,3,1989,1071,26,25-29,0,0,0,0,0,0,0
6474,169  9  7,ZZ6,169,9,7,169,768388,7,2015,1387,11,1982,995,32,30-34,0,0,0,0,0,0,0
6475,169 10  3,ZZ6,169,10,3,169,768388,7,2015,1387,1,1983,997,32,30-34,7,4,2,0,1,0,0
6476,169 15  2,ZZ6,169,15,2,169,768388,7,2015,1387,9,1994,1137,20,20-24,2,0,2,0,0,0,0
6477,169 16  2,ZZ6,169,16,2,169,768388,7,2015,1387,9,1992,1113,22,20-24,1,0,1,0,0,0,0
6478,169 16  4,ZZ6,169,16,4,169,768388,7,2015,1387,5,1995,1145,20,20-24,1,0,1,0,0,0,0
6479,169 16  8,ZZ6,169,16,8,169,768388,7,2015,1387,4,1998,1180,17,15-19,1,1,0,0,0,0,0
6480,169 17  4,ZZ6,169,17,4,169,768388,7,2015,1387,1,1994,1129,21,20-24,1,0,1,0,0,0,0
6481,169 17  9,ZZ6,169,17,9,169,768388,7,2015,1387,4,1997,1168,18,15-19,2,1,1,0,0,0,0
6482,169 18  1,ZZ6,169,18,1,169,768388,7,2015,1387,12,1985,1032,29,25-29,8,2,2,2,1,1,0
6483,169 18  2,ZZ6,169,18,2,169,768388,7,2015,1387,9,1996,1161,18,15-19,1,0,0,0,1,0,0
6484,169 20  2,ZZ6,169,20,2,169,768388,7,2015,1387,7,1997,1171,18,15-19,0,0,0,0,0,0,0
6485,169 21  3,ZZ6,169,21,3,169,768388,7,2015,1387,3,1972,867,43,40-44,1,1,0,0,0,0,0
6486,169 21  6,ZZ6,169,21,6,169,768388,7,2015,1387,6,1995,1146,20,20-24,0,0,0,0,0,0,0
6487,169 22  4,ZZ6,169,22,4,169,768388,7,2015,1387,4,1996,1156,19,15-19,0,0,0,0,0,0,0
6488,169 22  5,ZZ6,169,22,5,169,768388,7,2015,1387,8,1992,1112,22,20-24,1,0,1,0,0,0,0
6489,169 22  6,ZZ6,169,22,6,169,768388,7,2015,1387,1,1994,1129,21,20-24,1,0,1,0,0,0,0
6490,169 24  2,ZZ6,169,24,2,169,768388,7,2015,1387,5,1993,1121,22,20-24,2,2,0,0,0,0,0
6491,169 25  1,ZZ6,169,25,1,169,768388,7,2015,1387,11,1968,827,46,45-49,4,2,2,0,0,0,0
6492,169 25  3,ZZ6,169,25,3,169,768388,7,2015,1387,1,1996,1153,19,15-19,0,0,0,0,0,0,0
6493,169 25  4,ZZ6,169,25,4,169,768388,7,2015,1387,3,2000,1203,15,15-19,0,0,0,0,0,0,0
6494,169 26  4,ZZ6,169,26,4,169,768388,7,2015,1387,4,1995,1144,20,20-24,1,0,1,0,0,0,0
6495,169 26  5,ZZ6,169,26,5,169,768388,7,2015,1387,11,1996,1163,18,15-19,1,1,0,0,0,0,0
6496,169 27  1,ZZ6,169,27,1,169,768388,7,2015,1387,6,1993,1122,22,20-24,1,1,0,0,0,0,0
6497,169 27  2,ZZ6,169,27,2,169,768388,7,2015,1387,4,1998,1180,17,15-19,0,0,0,0,0,0,0
6498,169 27  3,ZZ6,169,27,3,169,768388,7,2015,1387,5,1998,1181,17,15-19,0,0,0,0,0,0,0
6499,169 28  2,ZZ6,169,28,2,169,768388,7,2015,1387,5,1991,1097,24,20-24,3,2,0,1,0,0,0
6500,169 30  1,ZZ6,169,30,1,169,768388,7,2015,1387,3,1970,843,45,45-49,9,1,1,2,0,2,3
6501,169 30  2,ZZ6,169,30,2,169,768388,7,2015,1387,9,1993,1125,21,20-24,0,0,0,0,0,0,0
6502,169 31  1,ZZ6,169,31,1,169,768388,7,2015,1387,5,1977,929,38,35-39,7,4,3,0,0,0,0
6503,170  2  2,ZZ6,170,2,2,170,1287375,6,2015,1386,2,1972,866,43,40-44,10,1,4,1,2,2,0
6504,170  2  4,ZZ6,170,2,4,170,1287375,6,2015,1386,2,1998,1178,17,15-19,0,0,0,0,0,0,0
6505,170  3  2,ZZ6,170,3,2,170,1287375,6,2015,1386,3,1994,1131,21,20-24,1,1,0,0,0,0,0
6506,170  4  3,ZZ6,170,4,3,170,1287375,6,2015,1386,6,1990,1086,25,25-29,1,0,1,0,0,0,0
6507,170  5  2,ZZ6,170,5,2,170,1287375,6,2015,1386,6,1996,1158,19,15-19,0,0,0,0,0,0,0
6508,170  6  2,ZZ6,170,6,2,170,1287375,6,2015,1386,8,1974,896,40,40-44,6,1,3,1,1,0,0
6509,170  6  3,ZZ6,170,6,3,170,1287375,6,2015,1386,9,1992,1113,22,20-24,2,1,0,0,1,0,0
6510,170  7  2,ZZ6,170,7,2,170,1287375,6,2015,1386,1,1975,901,40,40-44,7,0,3,0,4,0,0
6511,170  7  3,ZZ6,170,7,3,170,1287375,6,2015,1386,11,1982,995,32,30-34,8,1,1,0,3,3,0
6512,170  7  4,ZZ6,170,7,4,170,1287375,6,2015,1386,12,1986,1044,28,25-29,4,2,2,0,0,0,0
6513,170  7  5,ZZ6,170,7,5,170,1287375,6,2015,1386,6,1971,858,44,40-44,7,0,1,2,1,1,2
6514,170  7  6,ZZ6,170,7,6,170,1287375,6,2015,1386,6,1997,1170,18,15-19,1,1,0,0,0,0,0
6515,170  7  7,ZZ6,170,7,7,170,1287375,6,2015,1386,2,1995,1142,20,20-24,0,0,0,0,0,0,0
6516,170  8  4,ZZ6,170,8,4,170,1287375,6,2015,1386,2,1981,974,34,30-34,6,2,3,0,0,1,0
6517,170  8  5,ZZ6,170,8,5,170,1287375,6,2015,1386,5,1989,1073,26,25-29,3,2,0,0,0,0,1
6518,170  8  6,ZZ6,170,8,6,170,1287375,6,2015,1386,4,1996,1156,19,15-19,0,0,0,0,0,0,0
6519,170  8 13,ZZ6,170,8,13,170,1287375,6,2015,1386,7,1998,1183,16,15-19,0,0,0,0,0,0,0
6520,170  9  3,ZZ6,170,9,3,170,1287375,6,2015,1386,5,1967,809,48,45-49,7,1,0,2,0,3,1
6521,170 10  2,ZZ6,170,10,2,170,1287375,6,2015,1386,3,1978,939,37,35-39,2,1,0,1,0,0,0
6522,170 10  3,ZZ6,170,10,3,170,1287375,6,2015,1386,1,1996,1153,19,15-19,0,0,0,0,0,0,0
6523,170 11  2,ZZ6,170,11,2,170,1287375,6,2015,1386,8,1977,932,37,35-39,2,0,0,0,1,0,1
6524,170 12  2,ZZ6,170,12,2,170,1287375,6,2015,1386,1,1990,1081,25,25-29,1,0,1,0,0,0,0
6525,170 12  3,ZZ6,170,12,3,170,1287375,6,2015,1386,3,1991,1095,24,20-24,3,2,0,0,0,0,1
6526,170 12  6,ZZ6,170,12,6,170,1287375,6,2015,1386,5,1998,1181,17,15-19,0,0,0,0,0,0,0
6527,170 13  2,ZZ6,170,13,2,170,1287375,6,2015,1386,9,1979,957,35,35-39,4,3,1,0,0,0,0
6528,170 14  2,ZZ6,170,14,2,170,1287375,6,2015,1386,3,1984,1011,31,30-34,4,1,0,0,0,1,2
6529,170 15  2,ZZ6,170,15,2,170,1287375,6,2015,1386,4,1987,1048,28,25-29,3,1,1,0,1,0,0
6530,170 16  2,ZZ6,170,16,2,170,1287375,6,2015,1386,3,1995,1143,20,20-24,1,0,1,0,0,0,0
6531,170 17  3,ZZ6,170,17,3,170,1287375,6,2015,1386,4,1977,928,38,35-39,6,0,0,3,0,0,3
6532,170 17  4,ZZ6,170,17,4,170,1287375,6,2015,1386,2,1998,1178,17,15-19,1,0,1,0,0,0,0
6533,170 18  2,ZZ6,170,18,2,170,1287375,6,2015,1386,3,1976,915,39,35-39,6,0,1,1,0,2,2
6534,170 18  3,ZZ6,170,18,3,170,1287375,6,2015,1386,12,1986,1044,28,25-29,3,0,1,0,0,0,2
6535,170 18  4,ZZ6,170,18,4,170,1287375,6,2015,1386,9,1999,1197,15,15-19,0,0,0,0,0,0,0
6536,170 19  3,ZZ6,170,19,3,170,1287375,6,2015,1386,9,1992,1113,22,20-24,1,0,1,0,0,0,0
6537,170 21  2,ZZ6,170,21,2,170,1287375,6,2015,1386,8,1993,1124,21,20-24,2,1,0,0,1,0,0
6538,170 21  3,ZZ6,170,21,3,170,1287375,6,2015,1386,12,1998,1188,16,15-19,0,0,0,0,0,0,0
6539,170 22  2,ZZ6,170,22,2,170,1287375,6,2015,1386,4,1978,940,37,35-39,6,1,4,0,0,0,1
6540,170 23  2,ZZ6,170,23,2,170,1287375,6,2015,1386,4,1971,856,44,40-44,6,3,0,2,1,0,0
6541,170 25  2,ZZ6,170,25,2,170,1287375,6,2015,1386,3,1979,951,36,35-39,3,0,0,0,2,0,1
6542,170 27  2,ZZ6,170,27,2,170,1287375,6,2015,1386,6,1990,1086,25,25-29,1,0,0,0,0,0,1
6543,170 28  2,ZZ6,170,28,2,170,1287375,6,2015,1386,3,1987,1047,28,25-29,5,1,3,0,0,0,1
6544,170 29  2,ZZ6,170,29,2,170,1287375,6,2015,1386,7,1991,1099,23,20-24,1,1,0,0,0,0,0
6545,170 29  3,ZZ6,170,29,3,170,1287375,6,2015,1386,8,1994,1136,20,20-24,1,0,0,0,0,1,0
6546,170 30  2,ZZ6,170,30,2,170,1287375,6,2015,1386,2,1967,806,48,45-49,7,1,1,2,1,2,0
6547,170 30  4,ZZ6,170,30,4,170,1287375,6,2015,1386,3,1991,1095,24,20-24,0,0,0,0,0,0,0
6548,170 31  2,ZZ6,170,31,2,170,1287375,6,2015,1386,1,1980,961,35,35-39,2,2,0,0,0,0,0
6549,170 31  3,ZZ6,170,31,3,170,1287375,6,2015,1386,4,1986,1036,29,25-29,2,0,1,0,0,0,1
6550,171  1  2,ZZ6,171,1,2,171,571092,6,2015,1386,6,1969,834,46,45-49,6,3,1,0,1,0,1
6551,171  2  1,ZZ6,171,2,1,171,571092,6,2015,1386,5,1970,845,45,45-49,6,4,0,1,0,1,0
6552,171  3  2,ZZ6,171,3,2,171,571092,6,2015,1386,3,1989,1071,26,25-29,4,1,1,1,1,0,0
6553,171  4  2,ZZ6,171,4,2,171,571092,6,2015,1386,2,1985,1022,30,30-34,5,2,1,0,1,0,1
6554,171  4  6,ZZ6,171,4,6,171,571092,6,2015,1386,2,1986,1034,29,25-29,2,0,1,1,0,0,0
6555,171  5  2,ZZ6,171,5,2,171,571092,6,2015,1386,2,1987,1046,28,25-29,3,2,0,1,0,0,0
6556,171  6  2,ZZ6,171,6,2,171,571092,6,2015,1386,5,1988,1061,27,25-29,6,2,3,0,0,0,1
6557,171  7  2,ZZ6,171,7,2,171,571092,6,2015,1386,12,1989,1080,25,25-29,2,0,0,0,2,0,0
6558,171  7  3,ZZ6,171,7,3,171,571092,6,2015,1386,12,1990,1092,24,20-24,0,0,0,0,0,0,0
6559,171  8  2,ZZ6,171,8,2,171,571092,6,2015,1386,5,1967,809,48,45-49,8,4,0,0,2,1,1
6560,171 11  2,ZZ6,171,11,2,171,571092,6,2015,1386,6,1970,846,45,45-49,9,0,0,4,2,3,0
6561,171 13  2,ZZ6,171,13,2,171,571092,6,2015,1386,6,1988,1062,27,25-29,1,0,1,0,0,0,0
6562,171 14  1,ZZ6,171,14,1,171,571092,6,2015,1386,4,1980,964,35,35-39,5,3,0,1,1,0,0
6563,171 15  2,ZZ6,171,15,2,171,571092,6,2015,1386,4,1978,940,37,35-39,7,0,1,1,1,4,0
6564,171 15  3,ZZ6,171,15,3,171,571092,6,2015,1386,6,1999,1194,16,15-19,0,0,0,0,0,0,0
6565,171 18  2,ZZ6,171,18,2,171,571092,6,2015,1386,1,1970,841,45,45-49,5,1,1,1,1,1,0
6566,171 18  3,ZZ6,171,18,3,171,571092,6,2015,1386,5,1997,1169,18,15-19,1,1,0,0,0,0,0
6567,171 19  2,ZZ6,171,19,2,171,571092,6,2015,1386,5,1998,1181,17,15-19,0,0,0,0,0,0,0
6568,171 20  9,ZZ6,171,20,9,171,571092,6,2015,1386,1,1983,997,32,30-34,8,1,2,0,1,4,0
6569,171 20 11,ZZ6,171,20,11,171,571092,6,2015,1386,1,1988,1057,27,25-29,6,2,1,0,0,2,1
6570,171 21  1,ZZ6,171,21,1,171,571092,6,2015,1386,11,1967,815,47,45-49,4,0,2,1,1,0,0
6571,171 21  2,ZZ6,171,21,2,171,571092,6,2015,1386,6,1991,1098,24,20-24,1,0,1,0,0,0,0
6572,171 21  3,ZZ6,171,21,3,171,571092,6,2015,1386,6,1994,1134,21,20-24,2,1,0,0,0,1,0
6573,171 22  2,ZZ6,171,22,2,171,571092,6,2015,1386,3,1990,1083,25,25-29,4,2,0,0,0,2,0
6574,171 23  2,ZZ6,171,23,2,171,571092,6,2015,1386,4,1980,964,35,35-39,5,0,0,3,1,1,0
6575,171 24  2,ZZ6,171,24,2,171,571092,6,2015,1386,3,1985,1023,30,30-34,0,0,0,0,0,0,0
6576,171 27  2,ZZ6,171,27,2,171,571092,6,2015,1386,6,1985,1026,30,30-34,6,1,3,0,2,0,0
6577,171 29  2,ZZ6,171,29,2,171,571092,6,2015,1386,2,1985,1022,30,30-34,5,1,1,1,0,1,1
6578,172  1  2,ZZ6,172,1,2,172,731944,8,2015,1388,6,1990,1086,25,25-29,2,1,1,0,0,0,0
6579,172  2  2,ZZ6,172,2,2,172,731944,8,2015,1388,7,1991,1099,24,20-24,3,2,1,0,0,0,0
6580,172  3  2,ZZ6,172,3,2,172,731944,8,2015,1388,10,1982,994,32,30-34,4,2,2,0,0,0,0
6581,172  4  2,ZZ6,172,4,2,172,731944,8,2015,1388,5,1985,1025,30,30-34,5,2,1,0,1,1,0
6582,172  5  2,ZZ6,172,5,2,172,731944,8,2015,1388,10,1985,1030,29,25-29,3,1,2,0,0,0,0
6583,172  6  1,ZZ6,172,6,1,172,731944,8,2015,1388,3,1991,1095,24,20-24,1,0,1,0,0,0,0
6584,172  6  4,ZZ6,172,6,4,172,731944,8,2015,1388,3,1994,1131,21,20-24,1,0,0,0,1,0,0
6585,172  7  2,ZZ6,172,7,2,172,731944,8,2015,1388,5,1982,989,33,30-34,5,2,2,0,0,1,0
6586,172  7  5,ZZ6,172,7,5,172,731944,8,2015,1388,2,1999,1190,16,15-19,0,0,0,0,0,0,0
6587,172  8  2,ZZ6,172,8,2,172,731944,8,2015,1388,4,1979,952,36,35-39,6,2,2,0,1,1,0
6588,172  8  4,ZZ6,172,8,4,172,731944,8,2015,1388,2,1998,1178,17,15-19,0,0,0,0,0,0,0
6589,172  9  2,ZZ6,172,9,2,172,731944,8,2015,1388,3,1966,795,49,45-49,8,0,0,3,2,1,2
6590,172 10  2,ZZ6,172,10,2,172,731944,8,2015,1388,12,1973,888,41,40-44,7,4,2,1,0,0,0
6591,172 10  3,ZZ6,172,10,3,172,731944,8,2015,1388,3,2000,1203,15,15-19,0,0,0,0,0,0,0
6592,172 11  2,ZZ6,172,11,2,172,731944,8,2015,1388,12,1975,912,39,35-39,5,3,2,0,0,0,0
6593,172 11  5,ZZ6,172,11,5,172,731944,8,2015,1388,4,2000,1204,15,15-19,0,0,0,0,0,0,0
6594,172 12  2,ZZ6,172,12,2,172,731944,8,2015,1388,2,1970,842,45,45-49,5,2,1,0,1,0,1
6595,172 12  3,ZZ6,172,12,3,172,731944,8,2015,1388,4,1995,1144,20,20-24,0,0,0,0,0,0,0
6596,172 13  2,ZZ6,172,13,2,172,731944,8,2015,1388,12,1984,1020,30,30-34,5,3,2,0,0,0,0
6597,172 13  8,ZZ6,172,13,8,172,731944,8,2015,1388,12,1993,1128,21,20-24,1,1,0,0,0,0,0
6598,172 13 10,ZZ6,172,13,10,172,731944,8,2015,1388,11,1990,1091,24,20-24,2,2,0,0,0,0,0
6599,172 14  1,ZZ6,172,14,1,172,731944,8,2015,1388,4,1973,880,42,40-44,1,0,1,0,0,0,0
6600,172 14  2,ZZ6,172,14,2,172,731944,8,2015,1388,2,1995,1142,20,20-24,2,0,2,0,0,0,0
6601,172 15  2,ZZ6,172,15,2,172,731944,8,2015,1388,3,1970,843,45,45-49,5,1,1,1,2,0,0
6602,172 15  3,ZZ6,172,15,3,172,731944,8,2015,1388,4,1967,808,48,45-49,4,1,0,0,0,3,0
6603,172 15  4,ZZ6,172,15,4,172,731944,8,2015,1388,6,1992,1110,23,20-24,0,0,0,0,0,0,0
6604,172 15  5,ZZ6,172,15,5,172,731944,8,2015,1388,4,1993,1120,22,20-24,1,0,0,0,1,0,0
6605,172 16  2,ZZ6,172,16,2,172,731944,8,2015,1388,3,1977,927,38,35-39,6,3,2,1,0,0,0
6606,172 16  5,ZZ6,172,16,5,172,731944,8,2015,1388,7,2000,1207,15,15-19,0,0,0,0,0,0,0
6607,172 17  2,ZZ6,172,17,2,172,731944,8,2015,1388,3,1994,1131,21,20-24,1,0,1,0,0,0,0
6608,172 17  4,ZZ6,172,17,4,172,731944,8,2015,1388,4,1998,1180,17,15-19,1,0,1,0,0,0,0
6609,172 18  6,ZZ6,172,18,6,172,731944,8,2015,1388,4,2000,1204,15,15-19,0,0,0,0,0,0,0
6610,172 18  7,ZZ6,172,18,7,172,731944,8,2015,1388,7,1996,1159,19,15-19,0,0,0,0,0,0,0
6611,172 18  8,ZZ6,172,18,8,172,731944,8,2015,1388,3,1977,927,38,35-39,9,3,1,3,0,1,1
6612,172 19  2,ZZ6,172,19,2,172,731944,8,2015,1388,3,1975,903,40,40-44,6,4,0,1,0,0,1
6613,172 19  3,ZZ6,172,19,3,172,731944,8,2015,1388,1,1989,1069,26,25-29,2,0,2,0,0,0,0
6614,172 20  2,ZZ6,172,20,2,172,731944,8,2015,1388,1,1975,901,40,40-44,7,4,1,1,1,0,0
6615,172 20  8,ZZ6,172,20,8,172,731944,8,2015,1388,6,1995,1146,20,20-24,0,0,0,0,0,0,0
6616,172 20 10,ZZ6,172,20,10,172,731944,8,2015,1388,10,1994,1138,20,20-24,1,1,0,0,0,0,0
6617,172 21  2,ZZ6,172,21,2,172,731944,8,2015,1388,4,1980,964,35,35-39,5,0,5,0,0,0,0
6618,172 21  7,ZZ6,172,21,7,172,731944,8,2015,1388,7,1998,1183,17,15-19,0,0,0,0,0,0,0
6619,172 22  2,ZZ6,172,22,2,172,731944,8,2015,1388,2,1996,1154,19,15-19,1,1,0,0,0,0,0
6620,172 22  4,ZZ6,172,22,4,172,731944,8,2015,1388,6,1975,906,40,40-44,4,1,2,0,1,0,0
6621,172 23  5,ZZ6,172,23,5,172,731944,8,2015,1388,7,2000,1207,15,15-19,0,0,0,0,0,0,0
6622,172 24  4,ZZ6,172,24,4,172,731944,8,2015,1388,9,1998,1185,16,15-19,0,0,0,0,0,0,0
6623,172 25  2,ZZ6,172,25,2,172,731944,8,2015,1388,4,1987,1048,28,25-29,4,1,3,0,0,0,0
6624,172 26  2,ZZ6,172,26,2,172,731944,8,2015,1388,4,1986,1036,29,25-29,3,2,1,0,0,0,0
6625,172 26  7,ZZ6,172,26,7,172,731944,8,2015,1388,11,1995,1151,19,15-19,1,1,0,0,0,0,0
6626,172 27  2,ZZ6,172,27,2,172,731944,8,2015,1388,6,1979,954,36,35-39,6,4,1,1,0,0,0
6627,172 27  5,ZZ6,172,27,5,172,731944,8,2015,1388,1,1998,1177,17,15-19,0,0,0,0,0,0,0
6628,172 28  2,ZZ6,172,28,2,172,731944,8,2015,1388,11,1976,923,38,35-39,5,1,1,1,1,1,0
6629,172 28  3,ZZ6,172,28,3,172,731944,8,2015,1388,2,1999,1190,16,15-19,0,0,0,0,0,0,0
6630,172 28  6,ZZ6,172,28,6,172,731944,8,2015,1388,7,1997,1171,18,15-19,0,0,0,0,0,0,0
6631,172 29  2,ZZ6,172,29,2,172,731944,8,2015,1388,11,1989,1079,25,25-29,3,1,2,0,0,0,0
6632,172 30  2,ZZ6,172,30,2,172,731944,8,2015,1388,5,1986,1037,29,25-29,2,2,0,0,0,0,0
6633,173  1  2,ZZ6,173,1,2,173,435280,8,2015,1388,9,1983,1005,31,30-34,4,1,2,0,1,0,0
6634,173  2  2,ZZ6,173,2,2,173,435280,8,2015,1388,3,1995,1143,20,20-24,2,0,2,0,0,0,0
6635,173  3  3,ZZ6,173,3,3,173,435280,8,2015,1388,8,1980,968,35,35-39,5,2,1,0,2,0,0
6636,173  3  4,ZZ6,173,3,4,173,435280,8,2015,1388,3,1975,903,40,40-44,6,1,1,3,1,0,0
6637,173  3  5,ZZ6,173,3,5,173,435280,8,2015,1388,1,1972,865,43,40-44,6,2,2,1,1,0,0
6638,173  3  7,ZZ6,173,3,7,173,435280,8,2015,1388,3,1997,1167,18,15-19,1,0,1,0,0,0,0
6639,173  3 14,ZZ6,173,3,14,173,435280,8,2015,1388,6,1994,1134,21,20-24,1,1,0,0,0,0,0
6640,173  3 17,ZZ6,173,3,17,173,435280,8,2015,1388,3,1991,1095,24,20-24,2,1,1,0,0,0,0
6641,173  4  3,ZZ6,173,4,3,173,435280,8,2015,1388,5,1993,1121,22,20-24,1,0,1,0,0,0,0
6642,173  4  4,ZZ6,173,4,4,173,435280,8,2015,1388,6,1997,1170,18,15-19,0,0,0,0,0,0,0
6643,173  5  2,ZZ6,173,5,2,173,435280,8,2015,1388,7,1991,1099,24,20-24,2,1,1,0,0,0,0
6644,173  7  2,ZZ6,173,7,2,173,435280,8,2015,1388,2,1985,1022,30,30-34,4,2,1,0,0,1,0
6645,173  8  2,ZZ6,173,8,2,173,435280,8,2015,1388,6,1978,942,37,35-39,7,1,1,0,1,3,1
6646,173  8  3,ZZ6,173,8,3,173,435280,8,2015,1388,1,1987,1045,28,25-29,5,3,0,0,2,0,0
