,hhid,Country code and phase,Cluster number,Household number,Respondent's line number,Ultimate area unit,Household sample weight,Month of interview,Year of interview,Date of interview,Number of household members,Number of eligible women in household,Number of eligible men in household,Number of de jure members,Number of de facto members,Number of children 5 and under (de jure),Result of household interview,Day of interview,Number of visits,Interviewer identification,Keyer identification,Ever-married sample,Primary sampling unit,Sample strata for sampling errors,Stratification used in sample design,Region,Type of place of residence,Place of residence,Household selected for male interview,Household weight for male subsample,Field supervisor,Field editor,Office editor,Number of eligible children for height and weight,Cluster altitude in meters,Total adults measured,Household selected for hemoglobin,Household selected for Domestic Violence module,Source of drinking water,Source of non-drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household
5444,188 26,ZZ6,188,26,1,188,1094761,7,2015,1387,1,0,0,1,1,0,completed,26,1,85,2,all woman sample,188,11,region 1 - rural,region 1,rural,NA,not selected,0,81,82,6,0,NA,0,not selected,household selected,tube well or borehole,NA,0,pit latrine without slab/open pit,no,yes,42
5445,188 27,ZZ6,188,27,2,188,1094761,7,2015,1387,2,0,0,2,2,0,completed,26,1,85,2,all woman sample,188,11,region 1 - rural,region 1,rural,NA,not selected,0,81,82,6,0,NA,0,not selected,household selected,tube well or borehole,NA,30,pit latrine without slab/open pit,no,yes,25
5446,188 28,ZZ6,188,28,2,188,1094761,7,2015,1387,5,2,0,5,5,2,completed,26,1,85,2,all woman sample,188,11,region 1 - rural,region 1,rural,NA,not selected,0,81,82,6,0,NA,0,not selected,household selected,tube well or borehole,NA,30,pit latrine without slab/open pit,no,yes,36
5447,188 29,ZZ6,188,29,2,188,1094761,7,2015,1387,4,1,0,4,4,2,completed,26,1,85,2,all woman sample,188,11,region 1 - rural,region 1,rural,NA,not selected,0,81,82,6,0,NA,0,not selected,household selected,tube well or borehole,NA,30,pit latrine without slab/open pit,no,yes,45
5448,188 30,ZZ6,188,30,2,188,1094761,7,2015,1387,4,2,0,4,3,1,completed,27,1,84,2,all woman sample,188,11,region 1 - rural,region 1,rural,NA,men's survey,1254496,81,82,6,1,NA,3,selected,household selected,unprotected well,NA,50,pit latrine with slab,no,yes,48
5449,188 31,ZZ6,188,31,2,188,1094761,7,2015,1387,7,2,1,7,7,1,completed,27,1,84,2,all woman sample,188,11,region 1 - rural,region 1,rural,NA,men's survey,1254496,81,82,6,1,NA,3,selected,household selected,protected well,NA,40,ventilated improved pit latrine (vip),no,yes,40
5450,189  1,ZZ6,189,1,2,189,480295,9,2015,1389,5,1,2,5,5,2,completed,20,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,2,NA,3,selected,household selected,public tap/standpipe,NA,6,pit latrine without slab/open pit,no,yes,30
5451,189  2,ZZ6,189,2,1,189,480295,9,2015,1389,6,2,1,6,6,1,completed,20,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,1,NA,3,selected,household selected,protected well,NA,10,pit latrine without slab/open pit,no,no,37
5452,189  3,ZZ6,189,3,2,189,480295,9,2015,1389,5,1,1,5,5,1,completed,20,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,1,NA,2,selected,household selected,protected well,NA,9,pit latrine without slab/open pit,no,no,75
5453,189  4,ZZ6,189,4,1,189,480295,9,2015,1389,8,3,0,8,8,2,completed,19,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,10,pit latrine without slab/open pit,no,no,47
5454,189  5,ZZ6,189,5,1,189,480295,9,2015,1389,8,2,2,8,8,2,completed,19,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,2,NA,4,selected,household selected,protected well,NA,10,pit latrine with slab,no,yes,58
5455,189  6,ZZ6,189,6,2,189,480295,9,2015,1389,6,1,1,6,6,2,completed,20,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,1,NA,2,selected,household selected,public tap/standpipe,NA,10,pit latrine without slab/open pit,no,yes,76
5456,189  7,ZZ6,189,7,1,189,480295,9,2015,1389,4,1,1,4,4,1,completed,19,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,0,NA,2,selected,household selected,protected well,NA,4,pit latrine with slab,no,yes,55
5457,189  8,ZZ6,189,8,2,189,480295,9,2015,1389,7,1,1,7,7,2,completed,20,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,2,NA,2,selected,household selected,protected well,NA,12,pit latrine without slab/open pit,no,yes,40
5458,189  9,ZZ6,189,9,1,189,480295,9,2015,1389,3,1,0,3,3,1,completed,19,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,6,pit latrine with slab,no,yes,30
5459,189 10,ZZ6,189,10,1,189,480295,9,2015,1389,6,1,1,6,6,2,completed,20,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,2,NA,2,selected,household selected,public tap/standpipe,NA,7,pit latrine with slab,no,no,38
5460,189 11,ZZ6,189,11,1,189,480295,9,2015,1389,9,1,0,9,9,2,completed,20,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,25,pit latrine without slab/open pit,no,yes,54
5461,189 13,ZZ6,189,13,1,189,480295,9,2015,1389,5,1,1,5,5,1,completed,19,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,1,NA,2,selected,household selected,piped into dwelling,NA,0,pit latrine with slab,no,no,30
5462,189 14,ZZ6,189,14,1,189,480295,9,2015,1389,6,1,0,6,6,2,completed,19,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,0,pit latrine with slab,no,yes,35
5463,189 15,ZZ6,189,15,1,189,480295,9,2015,1389,7,1,2,7,7,2,completed,19,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,2,NA,3,selected,household selected,public tap/standpipe,NA,4,pit latrine without slab/open pit,no,no,35
5464,189 16,ZZ6,189,16,1,189,480295,9,2015,1389,10,3,0,9,10,4,completed,19,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,10,pit latrine with slab,no,yes,51
5465,189 17,ZZ6,189,17,2,189,480295,9,2015,1389,6,1,0,6,5,1,completed,19,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,1,NA,2,selected,household selected,protected well,NA,7,pit latrine without slab/open pit,no,no,40
5466,189 18,ZZ6,189,18,1,189,480295,9,2015,1389,6,1,0,6,6,2,completed,20,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,10,pit latrine with slab,no,yes,25
5467,189 19,ZZ6,189,19,1,189,480295,9,2015,1389,7,1,0,7,7,1,completed,19,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,16,pit latrine with slab,no,no,61
5468,189 20,ZZ6,189,20,2,189,480295,9,2015,1389,7,1,0,7,7,0,completed,19,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,10,pit latrine with slab,no,yes,65
5469,189 21,ZZ6,189,21,2,189,480295,9,2015,1389,8,2,0,8,8,2,completed,20,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,10,pit latrine without slab/open pit,no,no,55
5470,189 22,ZZ6,189,22,1,189,480295,9,2015,1389,7,2,0,7,7,1,completed,19,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,protected well,NA,5,pit latrine with slab,no,yes,53
5471,189 23,ZZ6,189,23,1,189,480295,9,2015,1389,8,2,0,8,8,3,completed,19,1,106,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,10,pit latrine without slab/open pit,no,no,55
5472,189 24,ZZ6,189,24,1,189,480295,9,2015,1389,9,2,1,9,9,3,completed,19,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,3,NA,3,selected,household selected,protected well,NA,13,pit latrine without slab/open pit,no,yes,31
5473,189 25,ZZ6,189,25,1,189,480295,9,2015,1389,8,3,0,8,8,1,completed,20,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,piped to yard/plot,NA,0,pit latrine without slab/open pit,no,yes,39
5474,189 26,ZZ6,189,26,6,189,480295,9,2015,1389,7,2,2,7,7,2,completed,20,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,2,NA,4,selected,household selected,public tap/standpipe,NA,3,pit latrine without slab/open pit,no,yes,30
5475,189 27,ZZ6,189,27,2,189,480295,9,2015,1389,6,1,2,6,6,1,completed,19,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,0,NA,3,selected,household selected,protected well,NA,8,pit latrine without slab/open pit,no,no,63
5476,189 28,ZZ6,189,28,1,189,480295,9,2015,1389,5,1,0,5,5,1,completed,19,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,15,pit latrine without slab/open pit,no,yes,38
5477,189 29,ZZ6,189,29,1,189,480295,9,2015,1389,3,1,1,3,3,0,completed,19,1,224,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,men's survey,549692,101,102,3,0,NA,2,selected,household selected,protected well,NA,8,pit latrine without slab/open pit,no,yes,55
5478,189 30,ZZ6,189,30,1,189,480295,9,2015,1389,5,1,0,5,5,2,completed,20,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,13,pit latrine without slab/open pit,no,no,49
5479,189 31,ZZ6,189,31,1,189,480295,9,2015,1389,7,1,0,7,7,2,completed,20,1,105,30,all woman sample,189,13,region 1 - rural,region 1,rural,NA,not selected,0,101,102,3,0,NA,0,not selected,household selected,public tap/standpipe,NA,14,pit latrine without slab/open pit,no,yes,20
5480,190  1,ZZ6,190,1,2,190,1089146,9,2015,1389,3,1,0,3,3,1,completed,14,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,15,pit latrine without slab/open pit,no,no,60
5481,190  2,ZZ6,190,2,1,190,1089146,9,2015,1389,6,1,1,6,6,1,completed,13,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,1,NA,2,selected,household selected,protected well,NA,20,ventilated improved pit latrine (vip),no,no,32
5482,190  3,ZZ6,190,3,1,190,1089146,9,2015,1389,1,0,0,1,1,0,completed,14,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,0,NA,0,selected,household selected,protected well,NA,0,ventilated improved pit latrine (vip),no,no,62
5483,190  4,ZZ6,190,4,2,190,1089146,9,2015,1389,6,1,1,6,6,1,completed,13,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,0,NA,2,selected,household selected,protected well,NA,20,ventilated improved pit latrine (vip),no,yes,70
5484,190  5,ZZ6,190,5,1,190,1089146,9,2015,1389,5,2,0,5,5,1,completed,14,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,1,NA,2,selected,household selected,protected well,NA,0,ventilated improved pit latrine (vip),no,yes,47
5485,190  6,ZZ6,190,6,1,190,1089146,9,2015,1389,3,1,0,3,3,0,completed,11,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,0,NA,1,selected,household selected,protected well,NA,30,ventilated improved pit latrine (vip),no,no,49
5486,190  7,ZZ6,190,7,2,190,1089146,9,2015,1389,7,2,1,7,7,1,completed,13,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,0,NA,3,selected,household selected,protected well,NA,20,pit latrine without slab/open pit,no,no,76
5487,190  9,ZZ6,190,9,1,190,1089146,9,2015,1389,3,1,0,3,3,1,completed,11,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,10,pit latrine without slab/open pit,no,no,65
5488,190 10,ZZ6,190,10,1,190,1089146,9,2015,1389,2,1,0,2,2,0,completed,13,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,15,pit latrine without slab/open pit,no,yes,45
5489,190 11,ZZ6,190,11,1,190,1089146,9,2015,1389,5,2,0,5,5,2,completed,11,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,1,NA,2,selected,household selected,protected well,NA,20,no facility/bush/field,no,no,68
5490,190 12,ZZ6,190,12,1,190,1089146,9,2015,1389,1,0,0,1,1,0,completed,11,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,20,pit latrine without slab/open pit,no,no,59
5491,190 13,ZZ6,190,13,1,190,1089146,9,2015,1389,6,2,0,6,6,1,completed,13,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,15,pit latrine without slab/open pit,no,yes,58
5492,190 15,ZZ6,190,15,1,190,1089146,9,2015,1389,1,0,0,1,1,0,completed,14,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,20,pit latrine without slab/open pit,no,no,56
5493,190 16,ZZ6,190,16,1,190,1089146,9,2015,1389,8,1,1,8,8,4,completed,14,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,4,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,40,pit latrine without slab/open pit,no,yes,30
5494,190 17,ZZ6,190,17,1,190,1089146,9,2015,1389,8,2,0,8,8,3,completed,11,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,5,pit latrine without slab/open pit,no,yes,39
5495,190 18,ZZ6,190,18,2,190,1089146,9,2015,1389,5,1,1,5,5,2,completed,11,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,2,NA,2,selected,household selected,protected well,NA,20,ventilated improved pit latrine (vip),no,yes,62
5496,190 19,ZZ6,190,19,1,190,1089146,9,2015,1389,5,1,0,5,5,1,completed,11,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,20,pit latrine without slab/open pit,no,yes,60
5497,190 20,ZZ6,190,20,1,190,1089146,9,2015,1389,4,0,1,4,4,0,completed,13,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,0,NA,1,selected,household selected,protected well,NA,20,pit latrine without slab/open pit,no,yes,75
5498,190 21,ZZ6,190,21,1,190,1089146,9,2015,1389,3,0,0,3,3,1,completed,13,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,5,pit latrine without slab/open pit,no,no,53
5499,190 22,ZZ6,190,22,1,190,1089146,9,2015,1389,10,2,3,10,10,3,completed,14,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,3,NA,5,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,40,ventilated improved pit latrine (vip),no,yes,50
5500,190 23,ZZ6,190,23,1,190,1089146,9,2015,1389,6,0,0,6,6,0,completed,13,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,25,pit latrine without slab/open pit,no,yes,78
5501,190 24,ZZ6,190,24,2,190,1089146,9,2015,1389,6,1,0,6,6,1,completed,14,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,1,NA,1,selected,household selected,protected well,NA,30,ventilated improved pit latrine (vip),no,yes,63
5502,190 25,ZZ6,190,25,1,190,1089146,9,2015,1389,3,1,0,3,3,1,completed,14,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,25,pit latrine without slab/open pit,no,yes,52
5503,190 26,ZZ6,190,26,2,190,1089146,9,2015,1389,6,1,0,6,6,1,completed,13,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,15,pit latrine without slab/open pit,no,no,45
5504,190 27,ZZ6,190,27,2,190,1089146,9,2015,1389,6,2,0,6,6,2,completed,11,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,15,pit latrine without slab/open pit,no,yes,37
5505,190 28,ZZ6,190,28,1,190,1089146,9,2015,1389,9,1,4,9,9,0,completed,11,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,0,NA,5,selected,household selected,protected well,NA,20,ventilated improved pit latrine (vip),no,yes,49
5506,190 29,ZZ6,190,29,1,190,1089146,9,2015,1389,6,2,0,6,6,1,completed,13,1,85,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,tube well or borehole,NA,15,pit latrine without slab/open pit,no,yes,46
5507,190 30,ZZ6,190,30,2,190,1089146,9,2015,1389,8,2,0,8,8,2,completed,11,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,2,NA,2,selected,household selected,protected well,NA,20,pit latrine without slab/open pit,no,yes,48
5508,190 31,ZZ6,190,31,1,190,1089146,9,2015,1389,11,3,1,11,11,1,completed,13,1,84,17,all woman sample,190,9,region 1 - rural,region 1,rural,NA,men's survey,1251040,81,82,2,1,NA,4,selected,household selected,protected well,NA,20,ventilated improved pit latrine (vip),no,yes,68
5509,191  1,ZZ6,191,1,1,191,545479,7,2015,1387,4,1,0,4,4,1,completed,10,2,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,1,NA,1,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,8,pit latrine without slab/open pit,no,yes,26
5510,191  2,ZZ6,191,2,1,191,545479,7,2015,1387,5,1,2,5,5,1,completed,9,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,0,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,45,pit latrine without slab/open pit,no,yes,39
5511,191  3,ZZ6,191,3,2,191,545479,7,2015,1387,5,1,0,5,5,1,completed,11,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,25,pit latrine without slab/open pit,no,no,39
5512,191  4,ZZ6,191,4,1,191,545479,7,2015,1387,6,2,0,6,6,1,completed,8,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,protected spring,NA,5,pit latrine with slab,no,yes,56
5513,191  5,ZZ6,191,5,1,191,545479,7,2015,1387,5,1,2,5,5,1,completed,10,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,1,NA,3,selected,household selected,unprotected spring,NA,12,pit latrine without slab/open pit,no,yes,40
5514,191  6,ZZ6,191,6,1,191,545479,7,2015,1387,1,0,0,1,1,0,completed,12,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,0,NA,0,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,pit latrine without slab/open pit,no,no,70
5515,191  7,ZZ6,191,7,1,191,545479,7,2015,1387,8,2,0,8,8,1,completed,8,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,pit latrine without slab/open pit,no,yes,40
5516,191  8,ZZ6,191,8,1,191,545479,7,2015,1387,4,1,0,4,4,2,completed,10,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,unprotected spring,NA,12,pit latrine without slab/open pit,no,no,59
5517,191  9,ZZ6,191,9,1,191,545479,7,2015,1387,7,1,0,7,7,2,completed,11,1,221,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,ventilated improved pit latrine (vip),no,yes,36
5518,191 10,ZZ6,191,10,2,191,545479,7,2015,1387,6,2,1,6,6,0,completed,10,1,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,0,NA,3,selected,household selected,unprotected spring,NA,10,pit latrine with slab,no,yes,50
5519,191 11,ZZ6,191,11,1,191,545479,7,2015,1387,7,1,0,7,7,1,completed,8,1,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,pit latrine without slab/open pit,no,yes,69
5520,191 12,ZZ6,191,12,1,191,545479,7,2015,1387,4,0,0,4,4,1,completed,8,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,25,pit latrine without slab/open pit,no,no,55
5521,191 13,ZZ6,191,13,1,191,545479,7,2015,1387,9,1,1,9,5,2,completed,10,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,2,NA,3,selected,household selected,unprotected spring,NA,10,pit latrine without slab/open pit,no,yes,43
5522,191 14,ZZ6,191,14,1,191,545479,7,2015,1387,5,1,0,5,5,0,completed,9,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,unprotected spring,NA,15,pit latrine without slab/open pit,no,no,25
5523,191 16,ZZ6,191,16,1,191,545479,7,2015,1387,4,0,1,4,4,1,completed,12,1,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,1,NA,1,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,pit latrine without slab/open pit,no,yes,30
5524,191 18,ZZ6,191,18,1,191,545479,7,2015,1387,4,2,1,4,4,1,completed,11,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,1,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,pit latrine without slab/open pit,no,yes,28
5525,191 19,ZZ6,191,19,2,191,545479,7,2015,1387,6,0,0,6,5,3,completed,12,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,unprotected spring,NA,10,pit latrine without slab/open pit,no,no,50
5526,191 20,ZZ6,191,20,1,191,545479,7,2015,1387,1,0,0,1,1,0,completed,12,1,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,5,pit latrine without slab/open pit,no,no,80
5527,191 21,ZZ6,191,21,1,191,545479,7,2015,1387,5,1,0,5,5,2,completed,11,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,2,NA,1,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,25,pit latrine without slab/open pit,no,no,60
5528,191 22,ZZ6,191,22,2,191,545479,7,2015,1387,4,1,1,4,4,2,completed,12,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,2,NA,2,selected,household selected,cart with small tank,NA,25,ventilated improved pit latrine (vip),no,yes,35
5529,191 23,ZZ6,191,23,1,191,545479,7,2015,1387,6,1,2,6,6,0,completed,9,1,225,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,0,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,5,ventilated improved pit latrine (vip),no,yes,54
5530,191 24,ZZ6,191,24,1,191,545479,7,2015,1387,3,2,1,3,3,0,completed,12,1,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,0,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,110,pit latrine without slab/open pit,no,yes,36
5531,191 25,ZZ6,191,25,2,191,545479,7,2015,1387,5,1,0,5,4,2,completed,8,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,1,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,16,pit latrine without slab/open pit,no,no,55
5532,191 26,ZZ6,191,26,1,191,545479,7,2015,1387,5,1,0,5,5,0,completed,9,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,unprotected spring,NA,10,pit latrine without slab/open pit,no,yes,34
5533,191 27,ZZ6,191,27,3,191,545479,7,2015,1387,13,1,3,13,13,1,completed,8,1,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,1,NA,4,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,pit latrine without slab/open pit,no,yes,60
5534,191 28,ZZ6,191,28,1,191,545479,7,2015,1387,12,2,0,12,12,2,completed,12,1,224,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,pit latrine without slab/open pit,no,yes,50
5535,191 29,ZZ6,191,29,1,191,545479,7,2015,1387,6,1,1,6,6,2,completed,8,1,226,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,men's survey,626253,221,222,6,2,NA,2,selected,household selected,unprotected spring,NA,10,pit latrine without slab/open pit,no,yes,41
5536,191 30,ZZ6,191,30,1,191,545479,7,2015,1387,6,1,0,6,6,2,completed,8,1,221,24,all woman sample,191,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,6,0,NA,0,not selected,household selected,unprotected spring,NA,5,pit latrine without slab/open pit,no,yes,42
